,idx,airspeed,wing_angle,roll_eff,pitch_eff,yaw_eff
0,0,0.0,0.6704056620999379,-0.0005877526963630619,0.001913647073510245,-0.00042423711520823547
1,0,0.0,0.6704056620999379,-0.0006965268337557331,0.0014828904546961767,-0.00039143881140689467
2,0,0.0,0.6704056620999379,-0.0005225881123119922,0.0012602248785084599,-0.0005259556681833144
3,0,0.0,0.6704056620999379,-0.0007719692027220577,0.0015523945542234804,-0.00046780330278980227
4,0,0.0,0.6704056620999379,-0.0008934392063473071,0.0012205771388568742,-0.00045767774426213025
5,0,0.0,0.6704056620999379,-0.0009058623656493544,0.0013713010421147513,-0.0003885865575441857
6,0,0.0,0.6704056620999379,-0.002234897284587871,0.0026543577759214057,-0.0004960913392272994
7,1,0.0,0.6704056620999379,-0.003674203805280907,0.001084886850181346,0.00028315118384446205
8,1,0.0,0.6704056620999379,-0.004220139223818996,0.0012213536281624124,0.0003195044395166172
9,1,0.0,0.6704056620999379,-0.004158283443801475,0.0008787465119166292,0.0003917829869888364
10,1,0.0,0.6704056620999379,-0.004263862078161761,0.0012517334356127354,0.00023598864487705412
11,1,0.0,0.6704056620999379,-0.005647844964195766,-0.0005201037350375876,0.00025245438110647184
12,2,0.0,0.6704056620999379,0.00040285178172636877,-0.0011572511122778263,-0.00047744656136358677
13,2,0.0,0.6704056620999379,0.0005171789135295596,-0.0012659538848582745,-0.00036292724493939426
14,2,0.0,0.6704056620999379,0.0005514634167396143,-0.0012345223672365316,-0.0004174487917535353
15,2,0.0,0.6704056620999379,4.199695450543502e-05,-0.0010215455104474862,-0.0003357954949303186
16,2,0.0,0.6704056620999379,0.00043854488455194294,-0.0019041792549207939,-0.000301242797616857
17,3,0.0,0.6704056620999379,0.004186641656350214,-0.001071696587543751,0.0004660399992560142
18,3,0.0,0.6704056620999379,0.00426827992058731,-0.0010534053486002735,0.0004011106827928341
19,3,0.0,0.6704056620999379,0.004612044353843676,-0.0013375863533564543,0.0005804410366655349
20,3,0.0,0.6704056620999379,0.004615207574343065,-0.001117409598341324,0.0005503735371285411
