,idx,airspeed,wing_angle,cmd_af,roll_eff,pitch_eff,yaw_eff
0,5,7.902255408858812,0.0,"[4324.73993281 3736.21402782 5272.66777834 4545.98542121 4740.0905842
  176.40337797 4800.         4800.         7336.88916198]",0.00016452453027325216,-0.00012488389913667953,1.4127981806314038e-05
1,5,9.297759599091936,0.0,"[4210.17096402 3664.8244985  5325.91722072 4431.46846448 4739.40880342
  231.53109791 4800.         4800.         6701.03304421]",6.837458032753128e-05,-7.261850851433551e-05,5.338029794512886e-05
2,5,9.985575126867003,0.0,"[3941.5095502  3795.61403849 5423.57158962 4525.08487384 4758.61791909
  152.82028031 4800.         4800.         6528.67632698]",0.00011169222025391871,-8.708616039164616e-05,0.00011619115542383435
3,5,10.231167781883306,0.0,"[3693.44785285 3928.59028881 5543.87714452 4647.6998771  4775.25459776
   76.47297318 4800.         4800.         6525.01553918]",0.00010378155035529717,-0.00010527338997150048,3.665454548351011e-05
4,5,9.03904171071327,0.0,"[3673.37691269 4363.17535894 5676.96371895 4874.05988816 4796.34064675
  233.77083343 4800.         4800.         5346.42282684]",-1.2676600755288173e-05,-0.00014230243863954105,4.396173776209699e-05
5,5,8.646115073723509,0.0,"[3741.37936889 4438.22695258 5748.72892393 4921.13201732 4796.10461825
  152.7796176  4800.         4800.         5126.95487825]",4.122950193373958e-06,-0.0001329652479448755,4.419749727296319e-05
6,5,8.148376637491056,0.0,"[3817.4248464  4549.94935822 5833.57809322 5019.39187585 4797.55096032
  152.78248899 4800.         4800.         4893.25921455]",-1.311804874803605e-05,-0.00012050777780026284,4.936834936958202e-05
7,5,7.651285443400919,0.0,"[3980.85481222 4631.70911475 5950.4953064  5059.14745125 4793.53993575
   76.40647561 4800.         4800.         4501.25485639]",-0.00030151621235335315,-7.096424961052289e-05,2.5058158377181378e-05
8,5,7.550422993542604,0.0,"[4651.17843188 3680.0469997  5299.2595088  4557.99200835 4717.54350999
  305.96494864 4800.         4800.         7557.61054527]",2.5354131960414856e-05,-0.00013875924746896672,2.4045913931831847e-06
9,5,9.862254757121534,0.0,"[4475.67363652 3542.15916637 5407.34216369 4373.99265556 4717.07014952
  305.04702741 4800.         4800.         6427.07182744]",5.14930835657199e-05,-0.0001332442948949995,1.243582399222694e-05
