,idx,airspeed,wing_angle,cmd_af,roll_eff,pitch_eff,yaw_eff
0,4,9.158874639420926,1.7220581953010716e-06,"[ 6.07641071e+003  4.10506995e+003  5.84428356e+003  5.09903615e+003
 -4.38598601e+001  1.89878050e+003  2.07507571e-322  2.07507571e-322
  9.51062872e+003]",0.0001325670766073708,-4.103422247849752e-06,3.539508645949836e-05
1,4,10.686491751623043,1.3044928635067296e-06,"[ 5.74540975e+003  3.44949903e+003  5.62040906e+003  4.59250112e+003
 -9.46382213e+001  3.14584827e+003  2.07507571e-322  2.07507571e-322
  8.68037561e+003]",0.0001753624991167688,1.4650831870670073e-05,2.8525253567237772e-05
2,4,13.885072738974559,1.3025327565809535e-06,"[4.97123707e+003 3.11567799e+003 4.96149227e+003 4.24415532e+003
 1.52191948e+002 3.92118078e+003 2.07507571e-322 2.07507571e-322
 6.74888913e+003]",8.113489397975235e-05,-2.6898000757366523e-07,3.519010490421694e-05
3,4,15.176538446591051,1.5894962830662642e-06,"[ 5.30790261e+003  3.35215586e+003  5.27210815e+003  4.51872951e+003
 -6.46057815e+001  4.21193004e+003  2.07507571e-322  2.07507571e-322
  6.02578302e+003]",5.4580313783466146e-06,-1.0684358714197369e-05,3.940054569530443e-05
4,4,16.04534599683945,2.609267231731522e-06,"[ 5.47026363e+003  3.58716532e+003  5.50245389e+003  4.69141245e+003
 -1.29478338e+002  4.08083970e+003  2.07507571e-322  2.07507571e-322
  5.53622778e+003]",1.6805691264831667e-05,-1.563099361439356e-05,4.673811052440288e-05
5,4,16.19355310161923,2.726654699164045e-06,"[ 5.57762046e+003  4.07659234e+003  5.69276960e+003  4.93287943e+003
 -1.38993871e+002  3.43611150e+003  2.07507571e-322  2.07507571e-322
  5.20240524e+003]",5.396570759630661e-07,-1.88599962746759e-05,4.160641924997615e-05
6,4,15.151514449995855,1.6659449215003943e-06,"[ 5.48940872e+003  4.73030189e+003  5.59461061e+003  5.38843745e+003
 -4.69201179e+001  2.52645394e+003  2.07507571e-322  2.07507571e-322
  5.30254505e+003]",4.923858334907705e-05,-1.2604697221590776e-05,4.226269917317365e-05
7,4,12.80215911758,2.1383098384111174e-06,"[5.37143092e+003 5.01730576e+003 5.43525759e+003 5.63516115e+003
 6.06357169e+000 1.95314827e+003 2.07507571e-322 2.07507571e-322
 5.41087340e+003]",3.327876981088508e-05,-1.7844101848349735e-05,3.285578739759587e-05
8,4,11.47990134795043,2.271937215958136e-06,"[5.27906231e+003 5.09091433e+003 5.48250679e+003 5.64546297e+003
 1.56795064e+001 1.00841498e+003 2.07507571e-322 2.07507571e-322
 4.84501451e+003]",-6.505664413652444e-05,-3.547103605236647e-05,1.0781406631218921e-05
9,4,9.976841301327607,1.8132031673496643e-06,"[6.01583733e+003 4.98491232e+003 5.77123641e+003 6.04374123e+003
 3.82342648e+002 3.32620194e+003 2.07507571e-322 2.07507571e-322
 9.59995914e+003]",4.518376509351618e-05,-9.232016902049046e-06,4.966365567526632e-05
10,4,11.749495351199894,2.308197935762501e-06,"[6.05449647e+003 4.18978438e+003 5.99493410e+003 5.53276425e+003
 1.76360319e+002 4.37031164e+003 2.07507571e-322 2.07507571e-322
 9.58504931e+003]",5.582048557126454e-05,-1.2191633490344026e-05,5.6103884625152524e-05
11,4,13.78033043294189,1.5190597811107787e-06,"[6.10801747e+003 3.84733818e+003 6.07978109e+003 5.34375423e+003
 2.52876660e+001 4.89595612e+003 2.07507571e-322 2.07507571e-322
 9.25294076e+003]",5.08836615471616e-05,-1.5935176837550444e-05,6.613224615682489e-05
12,4,15.916821835946966,1.4215405838657265e-06,"[ 5.99323851e+003  3.69213743e+003  5.97658409e+003  5.23210389e+003
 -1.40021024e+002  5.05083967e+003  2.07507571e-322  2.07507571e-322
  8.57073304e+003]",4.312728091064047e-05,-2.622351210044334e-06,6.966411487985503e-05
13,4,17.65007304183108,1.7110459988301552e-06,"[ 5.86741491e+003  3.68271336e+003  5.87221280e+003  5.18194003e+003
 -1.07384722e+002  5.02024316e+003  2.07507571e-322  2.07507571e-322
  8.16080020e+003]",6.076911875260208e-05,4.0495724356106483e-07,6.521988494443208e-05
14,4,18.688922038459452,1.275294029302064e-06,"[ 5.71107305e+003  3.62193619e+003  5.71866391e+003  5.12672873e+003
 -2.57627722e+002  4.91363375e+003  2.07507571e-322  2.07507571e-322
  8.39874608e+003]",4.4755544697255285e-05,-1.761759260441148e-06,6.227562904457947e-05
