,idx,airspeed,wing_angle,cmd_af,roll_eff,pitch_eff,yaw_eff
0,0,2.6503878159096548,7.68616151359041e-07,[6328.78510604 6339.52150856 6127.72689171 6200.03548708],6.475448184166323e-05,0.0011821149418625864,-0.0003111747120184064
1,0,2.8273607682377624,9.599310885968813e-07,[6188.68429663 6255.75961272 6052.2946262  6224.2365658 ],0.0005078493287039833,0.0010321043791420546,-0.0003057106718662371
2,0,2.9608970820551637,1.273419073474324e-06,[6218.65716324 6382.32256209 6022.41947714 6223.66636176],0.00015882063912804815,0.0010656926433081863,-0.00037265886327866426
3,0,2.925383584384807,8.713220650340923e-07,[6314.41347128 6255.25855944 6162.2423055  6073.57936044],0.0003577129180752187,0.0008276438847810285,-0.00041261388775138937
4,0,2.6548231754160523,1.2935574879204125e-06,[6257.43241685 6330.96276269 6124.20053447 6225.66189381],0.00011821391911474181,0.001061758296719022,-0.0003394895635493215
5,0,1.774960701462735,1.4023049259292899e-06,[6458.71886983 6213.05016146 6170.40236768 6132.15908867],-0.005661881034014239,0.0018387334145454628,-0.00026948391900963477
6,1,0.054552464412131504,1.3962634015954637e-06,[6297.8818573  6228.38513878 6125.40939877 6203.89445624],-0.007591072900444114,0.0003351917741813339,0.00037626135061353844
7,1,-0.8800288809525986,8.63266699255657e-07,[6555.28610864 6222.43103319 6182.95339037 6221.97705299],-0.00841487312180883,0.0004738108181572849,0.00039287461453685395
8,1,0.6561787020997819,1.2136751106175955e-06,[6569.7202851  6265.82707373 6240.76071162 6201.98470792],-0.007578473708023323,0.00038821681589058105,0.0003819847543220572
9,1,-0.5836089002870845,7.350521272822272e-07,[6459.56546619 6275.12899033 6160.60271745 6220.42365674],-0.007794065416694657,0.00045610138291631475,0.0002802684668005667
10,1,-0.22475476033030253,1.0062494418228846e-06,[6615.92795275 6268.51780858 6098.4677339  6205.89282227],-0.007626757519586016,-0.001328553583564681,-0.0001273729556573601
11,2,0.02782568638686203,1.12439480657327e-06,[6354.24514307 6281.1786746  5954.15950776 6228.04021765],-0.0003189014400401327,-0.0008784414360098831,-0.0003641668580905743
12,2,0.7288213339030643,7.585469441359969e-07,[6550.18936092 6396.50624979 6057.32941846 6150.85624032],0.00020267397502706793,-0.0010343279390733638,-0.0003136245295491628
13,2,0.6560499555330085,1.164671635465447e-06,[6302.76694356 6477.08577661 6027.44906291 6199.60767807],-0.00023233297953877618,-0.001123264507805096,-0.0003519882656534435
14,2,0.21459623966367697,8.746784674417735e-07,[6651.95065646 6242.72893312 6154.5301356  6239.49609485],-0.0001669506810590878,-0.0011107229509844255,-0.00031819830396095824
15,2,0.2097657354326239,7.619033465436785e-07,[6395.46019612 6380.19708981 6091.81253326 6216.64581823],0.004431492961183501,-0.0018676945734501283,-0.00013652022710330686
16,3,0.12152292260669047,1.2177027935068131e-06,[6331.40322074 6401.58436948 6214.81917982 6091.13431978],0.008016584060791615,-0.0004177973004632529,0.00033085058412955754
17,3,-0.907529602268603,1.2244155983221755e-06,[6548.37636381 6328.65066525 6265.46205476 6104.67920279],0.00802159765940121,-0.00037154953461546983,0.00030908749645879616
18,3,-0.5213075572337083,1.0686785266057586e-06,[6381.4789366  6388.05447129 6149.92196654 6170.94766828],0.008818655324986803,-0.0003831023333700006,0.0003102142899981702
19,3,-0.0411021639476636,1.0753913314211216e-06,[6586.62285172 6233.98895911 6107.16330409 6150.86018535],0.007094397026154233,-0.0003844047951528543,0.00027923965071523005
20,3,-0.9762461139475339,0.26180020139109306,[6401.67938189 6330.570017   6301.75677252 6247.81994215],0.0052455927181913895,4.5148486495594124e-05,0.0002264515327010429
21,0,-0.8497752620715554,0.26179887695470294,[6388.05999232 6361.09518453 6315.67599146 6174.02121015],-0.0004852306732976556,0.0012057073039769138,-0.0002717916711651873
22,0,0.5586740507751455,0.26179925220049216,[6448.20429724 6229.15829967 6444.7540692  6004.14791153],8.9889190008001e-05,0.0009001901615425517,-0.000337626764470513
23,0,0.3208341385449236,0.2617989528093974,[6455.51577386 6362.20780053 6360.02399368 6161.26703104],-5.974657722844324e-05,0.0010194426925566786,-0.0003647100614683947
24,0,0.23919620263758165,0.26179910183366434,[6600.50816603 6300.29161954 6298.73006827 6148.35643204],0.0003252767747042203,0.0010239511730667837,-0.00033207458796871567
25,0,0.291350330426276,0.26179980466432845,[6613.68775148 6214.44960349 6376.83549051 6145.60266676],-0.004783369233063957,0.002029209098783138,-0.0002757991403940195
26,1,-0.30536372560438463,0.2617996831625613,[6605.76483849 6109.15761359 6309.82665393 5993.66231234],-0.008107155883719512,0.0009538615940935177,0.00022072658690301645
27,1,0.3808266053239837,0.2617993978683567,[6500.77219998 6346.35670777 6339.9299897  6248.94485234],-0.007560748536362632,0.0008486462053601917,0.00027653003378192017
28,1,0.22719612494442518,0.26179926428354083,[6532.76360735 6297.00378133 6396.88555596 6278.88096599],-0.006793262530091883,0.0007363028088775802,0.00025498226307100314
29,1,0.5000494650697862,0.2617999053564007,[6329.20260784 6464.7038453  6426.58224602 6288.92502534],-0.007080614279171263,0.0008256007213569414,0.0002572590223729898
30,1,-0.23128794719840773,0.26179973887884134,[6481.23134034 6463.1432399  6164.01870692 6264.95331032],-0.004640141657492094,-4.340938842940052e-07,0.0004380366506912733
31,2,0.14309195113497863,0.26179970531481717,[6807.36832187 6342.05976298 6227.15299225 6249.56263345],0.0003906405005481942,-0.001004612838001299,-0.00031470520867728224
32,2,-0.789916468377991,0.2617992535430531,[6455.75969378 6634.19688106 6394.80630152 6325.69692955],0.0005261268832891501,-0.001306484166108064,-0.0003624479020168733
33,2,-0.40259304955052433,0.2617998422560355,[6410.33856976 6402.18687717 6148.3715302  6250.04681546],0.0004307813280963643,-0.0009758987575633091,-0.00026481010398683177
34,2,-0.6488428511993029,0.2617992871070772,[6463.37221731 6521.95983784 6176.4561944  6376.28407542],6.03824041862948e-05,-0.0011240166024955233,-0.0002980871627152704
35,2,-0.4962403132084054,0.26180026449145827,[6455.5302281  6438.58691575 6375.6997212  6191.62869182],0.004952516641316131,-0.002286999241832583,-0.00015292461254554857
36,3,0.1877201930157806,0.2617997583459752,[6470.87989552 6484.71502455 6372.57207829 6162.55254487],0.007046792284442999,-0.0009423198733150396,0.00033755375068257425
37,3,0.14488952469407382,0.2617995871694524,[6577.20878513 6308.49020035 6486.06550939 6044.68918455],0.006566379343892073,-0.0007638547322135938,0.0003348113925664919
38,3,0.7143816024481431,0.26180039740499367,[6620.8892262  6317.09400663 6469.6098372  5990.05445503],0.0069245319563900195,-0.0009207920917846607,0.00034452999739883984
39,3,0.3020564122149289,0.26179876015189907,[6548.04880241 6351.28917042 6254.59406065 6099.98556722],0.006223082454105475,-0.0007482248437223475,0.00029705429066223033
40,3,-0.5204280349196442,0.5235985319234842,[6812.70533707 6350.92318065 6719.86404024 6300.14293932],0.0028604959359563617,-0.0008824638434257053,0.0005571391258777063
41,0,-0.8945083903442421,0.5235977901585519,[6751.34002202 6199.87224594 6887.3395348  6013.1151497 ],-0.0003882644963950654,0.0010622983483945094,-0.00030439240294863806
42,0,1.4069015749218978,0.5235979445530627,[6667.6038016  6325.72332766 6684.15638125 6216.54060103],-0.00021143053339543158,0.0010639320121041157,-0.000290688699569005
43,0,0.09662233997776756,0.5236003148444431,[6647.99378564 6317.60480455 6697.43590637 6182.00039785],-0.0003542140722019265,0.0012912310492550923,-0.0003728039563400849
44,0,0.3154285926210945,0.5236001013772499,[6578.54476002 6291.81087531 6843.88575264 6015.13783579],-0.0002650851898459854,0.0010996837910342483,-0.00031985336227601565
45,0,0.7592695417666749,0.5236023098900343,[6842.94972776 6270.13740008 6880.3801488  6210.47051419],-0.003916083368544513,0.002433896820737689,-0.00033282980197175846
46,1,0.2466375016227368,0.5235977169889794,[6556.78948692 6377.76888641 6565.1505916  6359.74742554],-0.005588978511700804,0.001088938675983957,0.00023643802868527275
47,1,-0.8725287862288663,0.5236013150523605,[6708.00836146 6457.57835289 6963.4751829  6375.46929751],-0.006148921509006036,0.0012075033150954406,0.00025288449361357714
48,1,-1.396129918688778,0.5235992622766481,[6624.18487589 6569.23497681 6714.23191372 6318.09381805],-0.0056118110716188,0.001039164366624473,0.0002958904588864675
49,1,-0.3905863836768426,0.5235983835704978,[6673.70072144 6451.82522236 6632.80166972 6344.05013559],-0.005701985764144852,0.0011867049998535197,0.00030659001932183
50,1,0.38681111995277284,0.5235965254661247,[6739.50708265 6501.11751538 6725.5088223  6241.53841797],-0.006323783359126913,0.001664700277847318,0.00037462785936585733
51,2,0.2864557865640736,0.5235967765250249,[6939.48879318 6367.27871215 6804.79754122 6147.26895661],0.000623421330504229,-0.0011780639729600765,-0.00039087301126022585
52,2,-0.7211471432415493,0.5235979620063552,[6735.16201381 6416.49758505 6641.00914716 6195.16629346],0.0004743740634634068,-0.0013578554455318571,-0.00034854206575003457
53,2,-1.0304456122915153,0.5235992676468919,[6872.70328542 6471.55218814 6734.13696802 6149.77198995],0.0005177505173427317,-0.0013129402042523282,-0.00033060973718370497
54,2,0.0687621338275159,0.5235977082623333,[6926.93173905 6186.5484946  6924.1874561  5954.81519076],0.0004814466876223453,-0.0011161426445353707,-0.00028507346598794647
55,2,-1.527369334811933,0.5235980459164155,[7023.06277276 6220.03034637 7045.17921914 5971.03046098],0.0022735785902437294,-0.002234601617904562,-0.0002271382068232757
56,3,-0.33086835554590405,0.5235991239928688,[6676.42726921 6547.59140898 6659.51498521 6317.04382573],0.005259451321761227,-0.0011168812675957794,0.00032413006549099056
57,3,0.060999235418521154,0.5235991226503078,[6898.75652609 6319.90868417 6741.45792723 6246.46477986],0.0056271298109828735,-0.001218781675984928,0.0004222297053089738
58,3,0.18724642612531545,0.5235976095841025,[6846.63653381 6457.3315919  6866.56024918 6239.86191478],0.005559075933404888,-0.0012093951634252335,0.0004921731863075198
59,3,-1.3579119937668547,0.5235991179513444,[7091.81509812 6300.3305195  7140.72711356 6030.86994565],0.005376751834417328,-0.0013265736731085593,0.0003857089799746044
60,3,-0.16526424183786798,0.7853981070098878,[7177.09089464 6415.54827094 7380.42054548 6333.79629352],0.004682430086616431,0.0005563011529350468,0.0004284431843924493
61,0,-0.35371307609476893,0.6277330962695231,[7265.56166234 6538.56386179 7267.03379621 6463.8137166 ],-0.0005718788874520715,0.0014469880220785835,-0.0004246876714813766
62,0,-1.0905433454743223,0.19201385232295964,[6592.93304401 6566.60807196 6509.87659765 6399.61598461],-0.00028494680510288644,0.001047823367180736,-0.00026517760465573906
63,0,0.18137238871507844,0.1920139630842391,[6434.05349778 6527.6038806  6462.08767164 6368.52419845],7.411144220175358e-05,0.0011844529010874877,-0.0003647869013319608
64,0,-0.062480992226389344,0.19201389058594703,[6410.26954657 6459.41145335 6470.66309464 6323.94909029],-0.00010259225277835928,0.0010942770640809212,-0.0003779952452319574
65,0,-0.5694748339128346,0.6981873640465414,[7370.88731627 5997.37732661 7159.11742771 6004.39706744],-0.0021520860878178096,0.0020360389138915384,-0.0001539538231402853
66,1,-0.6908687521760019,0.6981875137420887,[7282.75044262 6528.25404068 7289.71390156 6431.95579638],-0.00401873912293798,0.0011106044237979146,0.0002792102573475375
67,1,0.2837547944691694,0.698185762371312,[7363.11056311 6228.01608234 7382.71054906 6167.19000816],-0.004436847934172783,0.0012296095702119564,0.0002651449566892292
68,1,-1.3571523907185417,0.6981864524476475,[7370.62211605 6228.15712859 7020.82647482 6289.5660654 ],-0.004156052065010468,0.0009965196573414334,0.000305246891933957
69,1,-0.15574162665271313,0.6981863087936243,[7287.9154655  6215.76735501 7397.72019904 6125.5414373 ],-0.004459651220146691,0.0011781963115692312,0.00033329307960165526
70,1,-0.983817836728724,0.6981875473061128,[7303.93101535 6217.15688516 7271.81171156 6085.5181057 ],-0.00462875656744066,-4.6232358598406395e-05,0.0005305215458981005
71,2,0.2847508358101869,0.6981850051669292,[7328.7247437  6458.85251333 7199.7593875  6312.58486347],0.0006029991037336145,-0.00133054523028566,-0.00030172981346660255
72,2,-0.3875475470464637,0.6981846050837621,[7366.01548035 6450.34281308 7272.15181019 6422.4141038 ],0.0006506408389747307,-0.0015925844419005188,-0.0003012881616457509
73,2,-0.07968665428051168,0.6981867914442906,[7224.71196798 6520.65298686 6999.62256873 6566.22630239],0.0006176712478809167,-0.0012769775913710625,-0.000355275055807929
