,idx,airspeed,wing_angle,cmd_af,roll_eff,pitch_eff,yaw_eff
25,2,0.6991867275073697,0.523598630904874,[6436.81041339 6201.96519404 6437.86883219 6019.0656933 ],0.0006603562702384877,-0.001181141928949335,-0.0002832388216275902
26,2,-1.1392593435617122,0.5235977621813139,[6431.29266716 6234.5788358  6383.53836863 6148.74458562],0.0007305539987141736,-0.0011617019064683648,-0.00028433789450053263
27,2,-1.1149957884460733,0.5235980324258434,[6618.41008101 6167.76217653 6519.89999541 6008.29941576],0.00039834300817432597,-0.0012369097159892148,-0.00039246182201620113
28,2,-0.4350827111801557,0.5235985312522035,[6395.73106744 6345.51572242 6413.9197439  6203.13969879],0.0033877192014373217,-0.0023425422777849903,-0.0008106799028974928
29,3,0.09336978445767244,0.5235990582290357,[6267.20469253 6328.23964575 6407.7533954  6163.73559316],0.005564517018424599,-0.0011345932522232496,0.0002721275354350993
30,3,-0.044651896542636786,0.5235983184346368,[6476.00068366 6150.88243713 6577.68738671 5926.89717249],0.004883439411101788,-0.0009768347724393631,0.0002862816624028414
31,3,0.9705961120338487,0.5235981945725608,[6631.94728501 6164.79692356 6681.41400664 5913.61124884],0.005574987617168674,-0.0011383542468377046,0.0002851358519151004
32,3,0.3236486779434357,0.6981853161863341,[6825.88487738 6054.59117421 7019.40815089 5901.22661292],0.005051060954607125,-0.0015616731367351312,0.000779802478315997
33,0,-0.9021085396758773,0.6981885782630073,[6757.5832633  6122.66774067 6978.60257071 5950.58977007],-0.0004370002431208193,0.001346520216579868,-0.0002581898710071753
34,0,-0.8308805276215383,0.6981865328497255,[6860.02147657 6234.59432785 6983.77683036 5984.65577878],-0.00043430924550631804,0.001249013739385794,-0.0002733818766016268
35,0,0.7804154350212699,0.698186992828435,[6615.43951211 6297.54146791 6839.87188421 6113.09789386],-0.0006754387012344618,0.0012824445942278531,-0.000332901695861935
36,0,0.6053141657064636,0.6981857739130058,[6781.71343376 6166.12740622 6943.32666159 6069.27912802],-0.0005961713230519285,0.0014755213788023706,-0.0006306118611551635
37,1,0.8890306391248008,0.6981852379280226,[6860.85795464 6260.78717116 6913.69896728 6228.11589785],-0.005084797026839718,0.0013823400961171417,0.0002673101091791849
38,1,1.0956542632649549,0.6981869489136991,[6820.29312751 6347.78305763 6841.39479643 6190.78616401],-0.0050757285330466275,0.0013742559776186904,0.00024452228127708696
39,1,0.332495970872156,0.6981872309814265,[6815.74360378 6270.17191894 6810.84743272 6145.26401663],-0.004728801947672752,0.0011092717332089317,0.0004076418783886733
40,1,0.3018385378254787,0.6981853972596932,[6776.48096606 6251.80112846 6790.5703746  6161.86858899],-0.005997770123885533,0.0011768343229780918,0.0006214042963613574
41,2,0.48718172409892035,0.698185045941805,[6793.92947769 6088.51470285 6813.94755391 6003.11797946],0.0006730833130515055,-0.0013720246788324383,-0.0002553325148599475
42,2,0.5170395592500782,0.6981876791369372,[6955.20126146 6163.1464369  6996.48828396 5904.44582636],0.0006447008053593643,-0.001296584497941501,-0.00028187965956977663
43,2,1.3320242409051415,0.6981883474291384,[6833.16597146 6336.29649372 7030.0592119  6067.59124048],0.0005855074783277048,-0.0014106940402641274,-0.00040163772089948485
44,2,1.597179819893881,0.6981866882403301,[6833.88489577 6162.68989405 7144.98866705 6009.0901387 ],-0.0008257704872909101,-0.0013593818291543457,-0.0007676352234564085
45,3,0.8334762292636689,0.6981859979907613,[6924.01990653 6034.97596507 7116.46142949 5918.47324768],0.003917707856633388,-0.0010721603910452617,0.0002619303510384687
46,3,-0.5750219300179132,0.6981861364910827,[7016.26892659 6302.57235659 7196.3121241  5920.95895576],0.004143639289959056,-0.001067489787593367,0.0002569592939585444
47,3,-0.05861615463862208,0.6981871527231149,[6973.03870902 6091.18744641 7148.31754471 5939.61253275],0.004050380914526205,-0.0010324421998512165,0.00024995144979996983
48,3,0.9475734289923431,0.8726116141546779,[7507.96989469 6133.46472738 7613.28985221 5996.31593929],0.003753516553013067,-0.0009920082840341054,0.0007637942955461594
49,0,1.3435460750361723,0.8726075880742005,[7575.0744074  6028.92185957 7650.38591267 5952.00704217],-0.0005142300579513334,0.0012579250647519117,-0.0003005038733107176
50,0,1.2765248882090983,0.8726127559378143,[7412.04797403 5980.36458545 7642.92255228 5885.47469971],-0.0004945714983468599,0.0011598271030274691,-0.0003089406182350705
51,0,1.2912005307967476,0.8726109689458643,[7476.16397476 5950.81391066 7544.53269068 5999.62855729],-0.000663581336862127,0.0013551016055709476,-0.0003427198303741582
52,0,1.1660045941163655,0.8726095704304246,[7449.89457229 6003.98959759 7516.72142787 6007.676414  ],-0.0014646444659067329,0.0016263826849441693,-0.0007003291323907344
53,1,0.8428342281212874,0.8726102984016256,[7377.56017985 6211.34894045 7473.72822141 6038.70248246],-0.0038026220633432545,0.0011666120546852457,0.0003493923420749097
54,1,0.3260390408418659,0.872611114765308,[7513.59555312 6106.12978421 7642.96247976 6114.98612844],-0.003614042749030443,0.0011168573797702953,0.0003563726468568904
55,1,0.8295001226109896,0.8726071309105381,[7639.59434268 5908.89462145 7675.56294096 5995.9960606 ],-0.0034637914494940326,0.001039736412732704,0.00040555679176515437
56,1,1.3329490946064435,0.8726117318236499,[7382.32802924 6322.21870451 7363.78712222 6192.99647269],-0.004075132161716032,0.0008414613731907636,0.0006110597808564981
57,2,1.1411630279726235,0.8726072581506703,[7569.74201495 6047.69268464 7508.14873819 5952.75694038],0.0007569149266501899,-0.001501557109641373,-0.0002578064284727656
58,2,0.6198695680188993,0.8726099583439262,[7684.26334715 6150.41284176 7396.28925508 6163.91333733],0.0007076896335553608,-0.001468576532488996,-0.00026336632079824047
59,2,0.638155565348636,0.8726099363865581,[7446.4218684  6104.71729813 7332.95450793 6018.6900417 ],0.0008177193410437079,-0.0015463473205901128,-0.00034953382013716073
60,2,1.1292203553851168,0.8726108540919393,[7458.41844863 6286.06551367 7405.45357749 6204.5769305 ],0.0004172524968403109,-0.0017208823493368062,-0.0008863363969393064
61,3,1.13873993150861,0.8726109148969584,[7518.1260205  6139.84153758 7564.76006487 6063.86482439],0.003604605633656048,-0.001118015956048518,0.00034217735443611364
62,3,1.1074172556807438,0.87260952538967,[7538.81110686 6059.6274316  7648.13905526 5965.84425834],0.003579036311736648,-0.0011113632536303073,0.00030457565242100363
63,3,0.45207049312259606,0.8726083565820804,[7635.96448575 6014.80776769 7737.42330597 5952.21529833],0.0035670561172904303,-0.0011769917118528623,0.0003262660363213221
64,3,0.38715276782591757,1.0471971041671053,[7777.31499731 6169.10782449 7742.81814879 6224.86435576],0.0024060204731150884,-0.0007600899199241727,0.0006244763630183907
65,0,1.2976692588685175,1.0471960068617139,[7746.43666123 6273.36683584 7694.42996026 6354.92545221],-0.0003928099536331216,0.001318221640632612,-0.0003447781247671881
66,0,1.2528325329916015,1.0471982436982041,[7943.49478889 6095.3449778  7837.49461483 6342.25276403],-0.0003898783428792293,0.0012613580316560968,-0.0003446827587386727
67,0,1.15996105406763,1.0471978957583725,[7753.66370645 6213.17353832 7931.30796001 6036.76185804],-0.0005316695145898386,0.0014852785944235714,-0.00028380530703777946
68,0,1.275831054703426,1.0471943015061325,[7729.34613538 6240.50242187 7743.67231399 6239.20093391],-0.00039645972863560405,0.0013262760667196425,-0.0005796559635828205
69,1,1.071674173168969,1.0471971790473604,[7959.94109483 6060.75786734 7830.05008788 6184.17982119],-0.0026646596278086373,0.001053659664190079,0.0004051288424207694
70,1,0.7262669145460088,1.0471980438298545,[7929.81763524 6178.10888359 7650.29377451 6404.1085051 ],-0.0027450110183639036,0.0012015915180555816,0.00040808018940476543
71,1,0.47290179494487666,1.0471977167213717,[7853.04288671 6293.80505521 7752.96853153 6406.06605672],-0.0026884460557953845,0.0008769973420749585,0.00043899550902483657
72,1,1.2500511138882031,1.0471977465608717,[7882.65574415 6322.21966639 7755.70864624 6292.41147127],-0.0025258630851906997,0.0004274479332805031,0.0006175964251639418
73,2,1.463103191631659,1.0471974352166535,[7886.60024515 6208.33644767 7803.72796846 6267.53105521],0.000375380501393798,-0.001336628339839027,-0.0003177382229872304
74,2,1.1467013032720208,1.0471991794198867,[7890.77142625 6374.22766945 7748.48698828 6442.26703817],0.0003958367499807761,-0.0012814581449131048,-0.0003052909333089592
75,2,0.7748159912899237,1.0471970236567556,[7899.88005368 6274.34591596 7587.18491757 6511.97503621],0.000353771992720384,-0.001346187873803667,-0.00038251987004338413
76,2,0.683459757635255,1.0471971818624077,[7935.59265874 6500.17803819 7648.87003544 6548.33338691],0.0002118856824748158,-0.001580195073321931,-0.0008378968310554196
77,3,-0.04324149211172953,1.0471978495915988,[7846.69005186 6432.70393611 7424.25821246 6758.05984898],0.0027057835325900183,-0.0010708602626424682,0.0004458935353808953
78,3,-0.16086412842446762,1.0471979424881557,[7902.35000213 6482.80244745 7600.88616433 6572.85617101],0.002716399116961693,-0.0010798511869424907,0.0004535426977944621
79,3,-0.88180804229367,1.047197385108814,[7820.99500142 6285.04510653 7684.53930201 6261.02041768],0.002432984541237774,-0.0009982848711742292,0.00039000708359138636
80,3,0.8698241204311179,1.221705616151369,[7919.60671626 6748.62794093 7636.02684078 7085.98843096],0.0017399486710561573,-0.0006779166560236967,0.0005324422347311713
81,0,1.2076035584074618,1.221702459357461,[8003.16904723 6651.85893392 7436.79776645 7198.76964778],-0.00033386686125162047,0.001393611217604237,-0.0002650641868710004
82,0,-0.10278336936143709,1.2217027532483862,[8057.5143967  6747.73599136 7484.22200278 7276.78864659],-0.00033097937171990097,0.0013529615620529315,-0.00023193949307939176
83,0,0.3367515743634542,1.2217027673236223,[7688.00652071 7178.35711217 7281.92165643 7541.63489818],-0.00044440028242881196,0.0013133772937847586,-0.000249641187161808
84,0,0.46426407316313084,1.2217041934265236,[7794.2060425  6917.09935308 7629.54100108 7154.25586126],-0.00024423763965771727,0.0013162859062378954,-0.000464048940435665
85,1,-0.03126033742660666,1.2217027448032447,[8150.64184893 6604.18357251 7575.12450158 7115.34944609],-0.0021722491224069208,0.0009855030516875973,0.0004093650627272448
86,1,0.11596619850252354,1.221702650780669,[7965.75835306 6793.40602384 7698.25655665 7063.12564769],-0.0021341124327676976,0.001124085227191401,0.00031952373490536887
87,1,-0.6264997000872633,1.2217029514277076,[7560.28218066 7253.09040341 7578.05007428 7221.81320786],-0.002103345358855804,0.0010046033822440708,0.00040114557692499513
88,1,-2.4996666635090237,1.2217024351480545,[7716.56157797 7114.14744373 7310.84407525 7504.73985961],-0.0019476340981382356,0.000532800713349575,0.0006099329555028946
89,2,-3.301773476700944,1.221702508902291,[8061.85228721 6758.21824627 7707.61496531 7006.38061994],0.0002995727171160595,-0.001409606605451013,-0.00022951828464949102
90,2,-3.3775466473943854,1.2217036377362107,[7970.02304956 6910.166025   7648.952336   6982.74892174],0.00023058650595669615,-0.0013865377764002236,-0.00022611945076332122
91,2,-3.192663122053417,1.2217017741749767,[7864.59873388 6993.34702009 7578.55013288 7096.4874093 ],0.00032244562264023276,-0.0013816246841369078,-0.0002860945016211115
92,2,-3.2732646925319977,1.221703953021495,[7911.69601107 6971.00381934 7585.82332814 7221.39703293],0.0003735979404598486,-0.0013038482465220977,-0.0006263814863507485
93,3,-3.429500408370584,1.221702774642745,[7886.73444711 7067.1366729  7429.30140528 7447.0864828 ],0.0020500907244160134,-0.0010862650828723155,0.00034030546334522834
94,3,-3.1940601776456163,1.2217010186163137,[8020.82472128 6650.97302291 7372.15316316 7619.45903471],0.0019515520317857583,-0.0011426217457822885,0.0004039268991231117
95,3,-2.7508484882192237,1.2217040954628822,[8242.1995937  6416.69357755 7380.37324762 7452.7090707 ],0.0019849770529188383,-0.0012728782364176845,0.0003533838653726068
96,3,-2.426395997252247,1.3089947607122387,[7509.93703173 7560.69574652 7736.61069397 7303.67448099],0.0015131774582239493,-0.0005726832621257887,0.0005053941676905956
97,0,-2.2708217984460015,1.3089964953443116,[7568.56384021 7932.62939735 7587.44494579 7604.64793498],-0.00011118171085074462,0.0011605560966027912,-0.0003314996896545551
98,0,-2.558766293628516,1.3089968708716053,[7872.52008446 7471.49883959 7572.19671645 7570.06151307],-0.0002742913669124561,0.0012447393230960717,-0.00024998798982256833
99,0,-2.1295401942779386,1.3089978521970522,[7688.44386896 7566.61226252 7643.27805545 7599.33992853],-0.00035317664747530197,0.0014223096518492825,-0.00022711399968026015
100,0,-2.26375846367723,1.3089962065204708,[8065.54331578 7152.00448842 7464.76260711 7877.41590059],-0.0002662519407106141,0.001329469499048067,-0.00044139828934249296
101,1,-3.454560074661668,1.3089979006158643,[8024.4772667  7112.43534363 7589.22235287 7691.97818618],-0.001909702948159682,0.0009673222717185198,0.000352478225306229
102,1,-3.1880990388705066,1.3089955286571096,[7997.42624293 7135.48419699 7721.36626829 7495.06919256],-0.001856387223587034,0.0009598121513857084,0.00041768965931075357
103,1,-2.7578362818871516,1.3089962898458674,[7817.59975933 7345.54663984 7523.7745494  7738.81567931],-0.001576849179406032,0.0008972804207985477,0.0004751446237718453
104,1,-2.939732982934683,1.3089981579111765,[7844.10660351 7462.03850224 7713.27430579 7450.83901879],-0.0016249426801579069,0.0006408070826368264,0.0005991939185326626
105,2,-3.2338858318637596,1.3089971377380782,[7844.7676302  7662.32662828 7678.65948554 7483.60243517],0.00022273315696820492,-0.0012890668167701545,-0.00023879221313884757
106,2,-3.495398520180069,1.3089976055989194,[7745.57492534 7573.62046479 7595.81046877 7478.90973829],0.0002361967272471162,-0.0011539817513637873,-0.0002835279432018096
107,2,-3.3339761404223425,1.3089969136603221,[7824.0357989  7547.06611757 7485.57788215 7736.77085586],0.00016905869568548885,-0.0013225770715794272,-0.0002632808210036543
108,2,-3.53782558984861,1.3089985644039897,[7958.23125494 7166.51888147 7581.32103834 7732.1981884 ],-0.00016005109594682316,-0.0014518197016544852,-0.0005253797762353775
109,3,-3.341203976467328,1.308997745788269,[8003.36814213 7336.94828722 7626.58999546 7489.4747171 ],0.0015933354491712048,-0.0009423089863041424,0.00040555713741676814
110,3,-3.814023720595685,1.308996083784414,[7772.06634902 7749.73426373 7631.55925455 7611.08134182],0.0016073346709710877,-0.0009029937889354655,0.0004295217163979646
111,3,-3.679102294422715,1.308997212618333,[8006.07445636 7459.93121888 7569.84149513 7837.24076955],0.0015378757533635675,-0.0009435233895497728,0.0003968526020127103
