,idx,airspeed,wing_angle,roll_eff,pitch_eff,yaw_eff
0,0,0.0,1.0195268394360917,-0.0008009811118593762,0.0012141665226987816,-0.00025561299381432305
1,0,0.0,1.0195268394360917,-0.0006628685109486281,0.0013423800498497587,-0.0003930909435268946
2,0,0.0,1.0195268394360917,-0.00018704999339869198,0.0013999132213299303,-0.0004115240490849473
3,0,0.0,1.0195268394360917,-0.0005530170103947929,0.0011067151009905398,-0.0003270703716931844
4,0,0.0,1.0195268394360917,-0.0003070778185490142,0.0012913369809958947,-0.0005152515850507278
5,0,0.0,1.0195268394360917,-0.0005512598723489674,0.0014527894629589517,-0.00043756721541174316
6,0,0.0,1.0195268394360917,-0.0012734022162961087,0.0027013164831830483,-0.0003930528680089992
7,1,0.0,1.0195268394360917,-0.00197922002830426,0.0008885058614373676,0.0005082009372684687
8,1,0.0,1.019491961524318,-0.0018907046255575554,0.0010307840516896184,0.00037657591456552594
9,1,0.0,1.0195268394360917,-0.0023224288558856485,0.0011177969341772086,0.0004349521912237265
10,1,0.0,1.0195268394360917,-0.0018472913013951003,0.001076995973911823,0.00043195568731897266
11,1,0.0,1.0195268394360917,-0.003651401171877456,0.0006721671269985137,0.00037462076992510044
12,2,0.0,1.0195268394360917,-6.613711258316502e-05,-0.0010529345370395274,-0.0004276776244518388
13,2,0.0,1.0195268394360917,0.0002640090624711764,-0.0014453099904111798,-0.000396528327230927
14,2,0.0,1.0195268394360917,0.00017692598050116895,-0.0013603265282659057,-0.0003641607783907594
15,2,0.0,1.0195268394360917,0.0005224581233668698,-0.001218535221554679,-0.0004356333562125186
16,2,0.0,1.019491961524318,0.0008339753388124717,-0.00323208784714539,-0.0003110917976188151
17,3,0.0,1.019491961524318,0.0018175599849867092,-0.0010678684721942232,0.0006146659312786871
18,3,0.0,1.0195268394360917,0.0022971860450811663,-0.0008083258738932573,0.000583892283090014
19,3,0.0,1.019491961524318,0.0016724557537210246,-0.0010405810090825022,0.0004924078570819978
20,3,0.0,1.0195268394360917,0.0019166133241490142,-0.0009754893445968589,0.000471389534840662
